id,dbh,spp,method
1,12.2,fir,megaplot
2,15.8,fir,megaplot
3,14,fir,megaplot
4,15.5,fir,megaplot
5,8.5,fir,megaplot
6,14.7,fir,megaplot
7,19.4,fir,megaplot
8,14.8,spruce,megaplot
9,8.2,spruce,megaplot
10,13.2,fir,megaplot
11,9.3,fir,megaplot
12,21.1,fir,megaplot
13,13.7,fir,megaplot
14,14.4,fir,megaplot
15,30.7,spruce,megaplot
16,20.1,spruce,megaplot
17,26.7,spruce,megaplot
18,14.2,spruce,megaplot
19,29.8,spruce,megaplot
20,18.9,fir,megaplot
21,9,fir,megaplot
22,7.8,fir,megaplot
23,24.5,spruce,megaplot
24,20.3,spruce,megaplot
25,10.1,fir,megaplot
26,34.7,spruce,megaplot
27,22,spruce,megaplot
28,28.6,spruce,megaplot
29,12.9,spruce,megaplot
30,20.8,spruce,megaplot
31,20.2,fir,megaplot
32,7.6,spruce,megaplot
33,6.4,fir,megaplot
34,15.3,fir,megaplot
35,14.3,fir,megaplot
36,7.5,fir,megaplot
37,23.4,spruce,megaplot
38,14.2,spruce,megaplot
39,8,spruce,megaplot
40,16,spruce,megaplot
41,7,spruce,megaplot
42,34,spruce,megaplot
43,8.8,fir,megaplot
44,11,fir,megaplot
45,9.1,fir,megaplot
46,12.6,fir,megaplot
47,24.3,spruce,megaplot
48,28.7,spruce,megaplot
49,9.2,fir,megaplot
50,11.5,spruce,megaplot
51,26.5,fir,megaplot
52,11.5,fir,megaplot
53,21.7,fir,megaplot
54,14.7,fir,megaplot
55,18.1,fir,megaplot
56,23.5,spruce,megaplot
57,15.6,fir,megaplot
58,15.6,spruce,megaplot
59,22.3,spruce,megaplot
60,40.7,spruce,megaplot
61,10.3,fir,megaplot
62,21.1,spruce,megaplot
63,24.7,spruce,megaplot
64,14.9,fir,megaplot
65,22.9,fir,megaplot
66,10.3,fir,megaplot
67,16.5,fir,megaplot
68,24.7,spruce,megaplot
69,18.5,spruce,megaplot
70,33.5,spruce,megaplot
71,10.6,fir,megaplot
72,15.7,fir,megaplot
73,8.7,fir,megaplot
74,26.8,spruce,megaplot
75,11.6,spruce,megaplot
76,21.3,spruce,megaplot
77,9.8,fir,megaplot
78,28.3,spruce,megaplot
79,10.8,spruce,megaplot
80,23.6,spruce,megaplot
81,8.5,spruce,megaplot
82,7.9,fir,megaplot
83,13.1,fir,megaplot
84,11.3,fir,megaplot
85,6.2,spruce,megaplot
86,10.3,fir,megaplot
87,27.2,spruce,megaplot
88,15,fir,megaplot
89,10.5,fir,megaplot
90,6,fir,megaplot
91,12.7,spruce,megaplot
92,20.9,spruce,megaplot
93,30.5,spruce,megaplot
94,10,fir,megaplot
95,15.8,spruce,megaplot
96,25.6,spruce,megaplot
97,20.9,spruce,megaplot
98,30.8,spruce,megaplot
99,25,spruce,megaplot
100,7.3,fir,megaplot
101,9.2,fir,megaplot
102,6.3,fir,megaplot
103,7,fir,megaplot
104,16.7,fir,megaplot
105,9.9,fir,megaplot
106,12.5,fir,megaplot
107,14.8,fir,megaplot
108,17.4,fir,megaplot
109,7.4,fir,megaplot
110,8.5,spruce,megaplot
111,9,fir,megaplot
112,11.2,fir,megaplot
113,11.5,fir,megaplot
114,30.5,spruce,megaplot
115,6.8,fir,megaplot
116,13.5,fir,megaplot
117,8.7,fir,megaplot
118,10,fir,megaplot
119,8,fir,megaplot
120,11.5,spruce,megaplot
121,12,spruce,megaplot
122,7.2,spruce,megaplot
123,8.1,fir,megaplot
124,12.5,fir,megaplot
125,6.2,fir,megaplot
126,15.4,fir,megaplot
127,15.8,fir,megaplot
128,6.2,fir,megaplot
129,19.8,fir,megaplot
130,35,spruce,megaplot
131,6.1,spruce,megaplot
132,15.5,fir,megaplot
133,8.1,fir,megaplot
134,14.8,fir,megaplot
135,7.1,fir,megaplot
136,7,fir,megaplot
137,12.6,fir,megaplot
138,30.1,spruce,megaplot
139,14.1,fir,megaplot
140,8.4,fir,megaplot
141,7.5,fir,megaplot
142,11.9,fir,megaplot
143,8,fir,megaplot
144,7.8,fir,megaplot
145,19.5,fir,megaplot
146,6.3,fir,megaplot
147,11.5,fir,megaplot
148,6,fir,megaplot
149,7.2,fir,megaplot
