transect,point,id,spp,dbh,dist,,,
1,1,111,pine,12.2,1.9,,,
,,112,spruce,11,1.61,,,
,,113,pine,28.9,3.4,,,
,,114,pine,13,1.33,,,
,2,121,fir,13.9,0.78,,,
,,122,spruce,13.5,0.38,,,
,,123,fir,12.2,0.95,,,
,,124,spruce,13.8,0.5,,,
,3,131,fir,9.7,0.25,,,
,,132,fir,14.1,1.22,,,
,,133,fir,12.5,1.49,,,
,,134,fir,6,0.41,,,
,4,141,pine,15.2,3.49,,,
,,142,pine,30.4,1.76,,,
,,143,fir,14.3,3.88,,,
,,144,fir,8.3,0.61,,,
,5,151,fir,19.4,2.23,,,
,,152,fir,12.4,1.08,,,
,,153,spruce,26,1.38,,,
,,154,fir,14.2,2.11,,,
,6,161,pine,28.2,1.1,,,
,,162,spruce,20.1,2.57,,,
,,163,spruce,9,4.15,,,
,,164,fir,9.1,0.72,,,
2,1,211,pine,13.8,1.05,,,
,,212,pine,22.7,2.06,,,
,,213,pine,14.5,1.22,,,
,,214,fir,8,1.67,,,
,2,221,spruce,22.9,1.05,,,
,,222,fir,7.1,1.34,,,
,,223,fir,13,1.12,,,
,,224,fir,7.7,0.49,,,
,3,231,spruce,17.4,0.28,,,
,,232,fir,15.1,1.84,,,
,,233,pine,25,0.99,,,
,,234,spruce,31.3,1.94,,,
,4,241,fir,17.5,1.42,,,
,,242,fir,19,2.72,,,
,,243,pine,9.6,2.17,,,
,,244,fir,14.4,2.91,,,split
,5,251,pine,19.2,0.22,,,
,,251,spruce,16.2,1.69,,,
,,253,fir,14.7,0.37,,,
,,254,fir,9.5,1.77,,,
,6,261,fir,13.4,1.47,,,
,,262,spruce,7.6,2.42,,,
,,263,spruce,6,4.28,,,
,,264,spruce,8.7,1.3,,,
3,1,311,spruce,17.6,1.1,,,
,,312,pine,27.6,0.6,,,
,,313,fir,6.7,0.7,,,
,,314,pine,14.8,1.8,,,
,2,321,spruce,36.8,0.5,,,
,,322,spruce,16.1,3.8,,,
,,323,pine,17,2.1,,,
,,324,fir,12.3,1.4,,,
,3,331,fir,10.5,2.06,,,
,,332,fir,11.2,3.42,,,
,,333,fir,13.5,2.4,,,
,,334,fir,6.8,3,,,
,4,341,pine,14.5,0.58,,,
,,342,fir,17.5,3.21,,,
,,343,pine,8.9,2,,,
,,344,fir,13.8,1.84,,,
,5,351,fir,11.7,0.59,,,
,,352,fir,15.4,0.13,,,
,,353,spruce,8.7,0.61,,,
,,354,pine,26.5,0.57,,,
,6,361,pine,29.3,1.1,,,
,,362,fir,21,3.35,,,
,,363,fir,19.6,1.48,,,
,,364,fir,20.1,0.69,,,
4,1,411,fir,20.5,0.83,,,
,,412,spruce,21.2,2.37,,,
,,413,fir,12.3,2.9,,,
,,414,fir,14.3,2.32,,,
,2,421,fir,7.1,2.88,,,
,,422,spruce,29,1.78,,,
,,423,spruce,17.7,1.05,,,
,,424,pine,36.8,1,,,
,3,431,spruce,28.7,3.38,,,
,,432,fir,25,2.3,,,
,,433,fir,12.5,1.88,,,
,,434,fir,8.7,1.92,,,
,4,441,fir,36.1,2.27,,,
,,442,pine,41.4,1.92,,,
,,443,spruce,10,3.46,,,
,,444,pine,8.7,0.78,,,
,5,451,fir,18.7,0.74,,,
,,452,fir,18.7,4.47,,,
,,453,fir,12.7,2.49,,,
,,454,fir,15.6,2.59,,,
,6,461,pine,27.6,2.26,,,
,,462,fir,6.4,1.77,,,
,,463,fir,9.5,2.55,,,
,,464,pine,25.1,1.05,,,
5,1,511,fir,10.1,1.25,,,
,,512,spruce,24.5,4.02,,,
,,513,spruce,20.3,0.56,,,
,,513,fir,16.2,2.02,,,
,2,521,fir,15.3,2.1,,,
,,522,pine,30.7,0.8,,,
,,523,fir,13.5,5.44,,,
,,524,spruce,20.1,0.42,,,
,3,531,fir,6.3,3.02,,,
,,532,fir,21.7,1.5,,,
,,533,fir,14.7,1.38,,,
,,534,spruce,22.3,1.73,,,
,4,541,pine,7.1,1.29,,,
,,542,fir,6.5,3.3,,,
,,543,fir,11.5,1.65,,,
,,544,pine,30.5,1.84,,,
,5,551,pine,32,2.09,,,
,,552,spruce,10.2,2.31,,,
,,553,pine,41,2.78,,,
,,554,fir,19.8,4.49,,,
,6,561,pine,34.1,1.79,,,
,,562,pine,30.7,3.2,,,one core/rotten
,,563,pine,7.9,3.64,,,
,,564,fir,19.5,1.25,,,
6,1,611,fir,8.2,1,,,
,,612,fir,17.3,3.32,,,
,,613,spruce,14.8,1.08,,,
,,614,fir,14,0.92,,,
,2,621,spruce,6.2,0.31,,,
,,622,fir,10.3,0.5,,,
,,623,fir,11.3,2.17,,,
,,624,spruce,15.1,1.9,,,
,3,631,spruce,20.9,0.66,,,
,,632,pine,30.8,0.64,,,
,,633,fir,22.9,2.48,,,
,,634,pine,25.6,0.45,,,
,4,641,fir,9.5,1.82,,,
,,642,fir,12,2.81,,,
,,643,pine,9.4,2.74,,,
,,644,fir,19.1,0.92,,,
,5,651,fir,16.2,2.35,,,
,,652,fir,8.5,0.74,,,
,,653,fir,13.6,1.47,,,
,,654,spruce,20.3,1.98,,,
,6,661,fir,20.8,1.09,,,
,,662,fir,7.9,0.28,,,
,,663,fir,9.5,5.07,,,
,,664,fir,9.8,4.18,,,
