transect,point,id,spp,dbh,dist
1,1,111,fir,16.2,4.1
,,112,fir,22.7,3.01
,,113,pine,20.3,2.91
,,114,pine,24.5,2.9
,2,121,pine,19.7,0.92
,,122,pine,21.3,1.15
,,123,spruce,11.9,3.76
,,124,fir,15.1,2.55
,3,131,pine,23.4,1.27
,,132,fir,9.3,1.53
,,133,pine,12.8,2.11
,,134,pine,13.9,3.12
,4,141,spruce,7.5,1.59
,,142,spruce,9.6,1.53
,,143,spruce,9.8,1.15
,,144,spruce,7.3,1.41
,5,151,spruce,13.2,1.61
,,152,pine,7.8,1.86
,,153,pine,18.9,1.3
,,154,fir,12.2,0.58
,6,161,pine,11.8,0.99
,,162,fir,12.5,1.36
,,163,pine,22.4,2.03
,,164,pine,13.6,1.22
2,1,211,fir,11,1
,,212,fir,10.2,0.37
,,213,fir,6.3,2.3
,,214,pine,19.1,0.94
,2,221,pine,15.9,2.81
,,222,fir,10.7,0.91
,,223,pine,15.5,1.35
,,224,fir,6.5,3.22
,3,231,spruce,16.4,1.15
,,232,fir,6.7,0.37
,,233,fir,6.2,1.9
,,234,fir,11.3,0.5
,4,241,spruce,10.2,1.05
,,242,fir,24.7,0.86
,,243,pine,11.1,1.95
,,244,spruce,8.2,1.03
,5,251,pine,11.7,0.71
,,251,pine,14.8,0.64
,,253,pine,18.5,0.53
,,254,pine,11.2,0.95
,6,261,pine,15.9,0.11
,,262,spruce,14.7,1.75
,,263,fir,13.9,0.93
,,264,fir,16.5,1.04
3,1,311,fir,12.1,1.05
,,312,fir,15.6,1.06
,,313,fir,13.3,2.81
,,314,fir,17.8,3.11
,2,321,fir,14.6,1.05
,,322,fir,16.3,1.12
,,323,spruce,7.1,1.06
,,324,fir,26,1.64
,3,331,pine,20.5,2.7
,,332,pine,12.8,0.89
,,333,pine,8.4,0.83
,,334,pine,19.3,1.77
,4,341,pine,21.8,1.73
,,342,fir,14.4,1.37
,,343,fir,8.7,2.55
,,344,fir,24.3,2.58
,5,351,spruce,9.9,0.57
,,352,pine,19.2,0.3
,,353,fir,22.5,1.07
,,354,spruce,9.2,1.31
,6,361,fir,9.2,1.42
,,362,pine,24.7,3.85
,,363,spruce,17.1,2.49
,,364,spruce,20.3,2.6
4,1,411,fir,14.3,2.17
,,412,fir,15.3,3.55
,,413,fir,17.4,1.14
,,414,fir,12.2,0.5
,2,421,fir,18.7,0.68
,,422,pine,30.2,0.75
,,423,fir,8,1.34
,,424,fir,9.4,3.23
,3,431,fir,10,2.1
,,432,fir,7.5,1.34
,,433,fir,8,1.11
,,434,fir,6.3,2.11
,4,441,spruce,23.5,1.95
,,442,pine,20.2,1.11
,,443,pine,12.3,0.9
,,444,spruce,12.7,1.76
,5,451,spruce,7.6,3.04
,,452,spruce,16.8,1.14
,,453,spruce,17.1,2.86
,,454,spruce,9.9,2.62
,6,461,fir,22.1,1.03
,,462,spruce,26.7,1.79
,,463,fir,8.5,1.62
,,464,fir,15,3.6
5,1,511,spruce,11.1,0.5
,,512,spruce,15.6,0.24
,,513,pine,7.8,0.25
,,513,fir,13.1,1.46
,2,521,spruce,32.9,1.47
,,522,fir,5.8,4.7
,,523,pine,20.6,2.79
,,524,spruce,18.3,2.2
,3,531,fir,6.1,1.24
,,532,spruce,28.7,2.24
,,533,fir,6.4,1.32
,,534,pine,18.1,0.93
,4,541,fir,8.3,1.02
,,542,fir,7.9,1.16
,,543,spruce,8.4,1.46
,,544,fir,11.5,1.56
,5,551,fir,8.2,1.7
,,552,pine,14.7,1.13
,,553,fir,11.3,0.86
,,554,fir,17.2,1.2
,6,561,fir,14.5,0.91
,,562,fir,6.2,0.25
,,563,fir,6.3,0.49
,,564,fir,8.3,3.1
6,1,611,fir,8.9,1.38
,,612,fir,7.7,1.28
,,613,pine,27.2,1.73
,,614,spruce,17.5,2.4
,2,621,spruce,25.1,1.26
,,622,fir,16.7,2.52
,,623,fir,16.3,2.45
,,624,fir,23.2,1.77
,3,631,pine,12.5,1.22
,,632,spruce,16.5,1.03
,,633,pine,25.1,2.76
,,634,pine,16.2,1.57
,4,641,fir,9.7,0.87
,,642,fir,9.2,1.89
,,643,spruce,12.5,1.04
,,644,spruce,10.7,0.17
,5,651,fir,8.2,0.39
,,652,fir,19.2,0.92
,,653,spruce,10.8,1.87
,,654,fir,10.7,1.79
,6,661,fir,12.3,0.77
,,662,fir,8.3,1.33
,,663,fir,12.6,1.56
,,664,fir,14.8,1.8
