transect,point,tree,dbh,dist
1,1,2,15.8,0.55
,,1,12.2,0.26
,,45,9.1,2.82
,,564,8.7,1.51
,2,571,30.5,3.23
,,610,7.1,0.68
,,568,19,0.66
,,565,7.7,3.65
,3,573,13.9,1.29
,,574,7.4,1.59
,,572,8.9,0.63
,,571,30.5,1.92
,4,590,21.2,2.52
,,592,7.3,1.17
,,577,16.5,1
,,580,26.2,1.54
2,1,174,11.1,1.3
,,178,7.6,0.62
,,179,9.5,1.13
,,110,8.5,2.51
,2,186,12.5,3.85
,,289,19,3.36
,,183,36.1,0.88
,,184,9.9,1.87
,3,241,12.5,0.89
,,264,15.6,0.46
,,265,16,0.95
,,240,33.6,1.05
,4,262,7.5,3.47
,,267,7,5.17
,,266,18.7,3.29
,,260,15.4,3.65
3,1,52,11.5,0.83
,,107,14.8,2.19
,,50,11.5,0.9
,,49,9.2,2.56
,2,103,7,0.88
,,116,13.5,0.92
,,106,12.5,2.1
,,105,9.9,1.7
,3,129,19.8,2.98
,,159,18.6,2.61
,,121,12,1.38
,,122,7.2,1.79
,4,148,6,3
,,152,17.5,3.95
,,156,6.9,2.42
,,130,35,1.47
4,1,298,8.2,1.61
,,297,18.6,0.93
,,296,24.9,2.71
,,295,16,2.48
,2,408,22.3,0.8
,,428,13,3.68
,,411,19.3,1.54
,,409,9.6,0.56
,3,427,17.9,1.31
,,426,20.7,2.17
,,428,13,1.11
,,404,18.5,1.96
,4,429,15.4,1.98
,,437,17.4,1.16
,,426,20.7,2.48
,,435,17.1,3.3
